GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1628368-1629640-1630170-1642844-,D. Fox - K. Johnson - D. Vassell - D. Harper,1610612759,SAS,15,11,4,0.733,50.353333,35,99,0.354,11,35,0.314,34,42,0.81,22,32,54,19,14.0,12,7,5,29,27,115,4.0,37,9,2873,881,162,192,140,2058,195,168,1432,65,69,1008,58,161,121,221,3036,87,103,2974,3099,125,160,582,151060
Lineups,-1626157-1628969-1628973-1630540-,K. Towns - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,11,10,1,0.909,47.181667,43,86,0.5,18,38,0.474,17,19,0.895,14,31,45,30,12.0,5,7,5,25,22,121,16.0,89,19,701,702,175,147,175,797,89,147,725,219,263,780,115,168,153,115,2992,284,103,2974,3063,170,145,104,141545
Lineups,-1628368-1629640-1630170-1641705-,D. Fox - K. Johnson - D. Vassell - V. Wembanyama,1610612759,SAS,13,8,5,0.615,46.731667,36,81,0.444,9,29,0.31,25,31,0.806,11,32,43,22,15.0,11,6,5,28,20,106,4.0,61,57,3068,1067,176,185,189,1483,237,212,1444,121,125,1018,164,161,159,178,3048,101,136,2974,3091,203,185,582,140195
Lineups,-1628368-1629640-1630577-1641705-,D. Fox - K. Johnson - J. Champagnie - V. Wembanyama,1610612759,SAS,15,9,6,0.6,46.303333,34,80,0.425,9,36,0.25,28,36,0.778,11,36,47,20,14.0,3,3,5,15,23,105,-14.0,37,37,3129,1072,179,201,192,1677,237,162,1610,91,93,1116,164,141,147,208,3036,477,314,2974,2912,161,187,3073,138910
Lineups,-1628368-1628436-1630577-1642264-,D. Fox - L. Kornet - J. Champagnie - S. Castle,1610612759,SAS,10,5,5,0.5,46.265,33,79,0.418,8,28,0.286,18,22,0.818,8,33,41,22,15.0,6,8,4,19,24,92,-22.0,113,196,3068,1178,181,209,196,1714,276,221,1502,200,216,991,262,157,172,178,3048,230,83,2903,2993,150,218,3163,138795
Lineups,-1626157-1628384-1628973-1630540-,K. Towns - O. Anunoby - J. Brunson - M. McBride,1610612752,NYK,7,6,1,0.857,45.108333,42,81,0.519,15,33,0.455,27,30,0.9,11,34,45,26,14.0,9,4,7,21,19,126,43.0,237,131,701,728,187,152,189,758,119,187,745,101,132,760,164,153,153,140,3036,133,232,3078,3025,222,133,19,135325
Lineups,-203084-1628368-1630577-1641705-,H. Barnes - D. Fox - J. Champagnie - V. Wembanyama,1610612759,SAS,13,9,4,0.692,44.063333,37,77,0.481,10,35,0.286,22,27,0.815,13,25,38,22,16.0,5,5,2,17,30,106,4.0,61,37,2873,905,197,181,202,1242,217,168,1502,147,153,999,133,219,194,178,3063,284,170,2474,2958,100,185,582,132190
Lineups,-203084-1630577-1641705-1642264-,H. Barnes - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,13,8,5,0.615,43.671667,33,67,0.493,12,35,0.343,23,26,0.885,9,25,34,21,17.0,4,9,3,18,31,101,6.0,61,57,3068,1067,198,209,225,1192,168,168,1156,136,165,800,226,219,225,196,3082,362,69,2757,2975,95,197,407,131015
Lineups,-1628384-1628404-1628973-1630540-,O. Anunoby - J. Hart - J. Brunson - M. McBride,1610612752,NYK,8,6,2,0.75,43.611667,44,84,0.524,15,34,0.441,19,20,0.95,16,32,48,22,16.0,9,4,5,20,14,122,44.0,186,131,2085,805,199,141,184,735,119,177,787,190,234,715,96,161,144,178,3063,133,232,2974,3008,310,144,17,130835
Lineups,-1629640-1630577-1641705-1642264-,K. Johnson - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,15,9,6,0.6,42.158333,34,79,0.43,13,41,0.317,7,14,0.5,10,27,37,23,9.0,4,2,3,16,15,88,-22.0,37,37,3129,1072,208,201,196,1599,151,131,1427,523,354,1737,190,194,205,168,2883,362,474,2757,2945,292,228,3163,126475
